Latitude,Longitude,County
-101.9476136,32.74258137,Dawson County
-102.6048162,34.96602014,Deaf Smith County
-95.67221685,33.38623601,Delta County
-97.11681154,33.205574,Denton County
-97.35666976,29.08201599,DeWitt County
-100.7788138,33.61663428,Dickens County
-99.760574,28.42161168,Dimmit County
-100.8140501,34.96540246,Donley County
-98.50889672,27.68133382,Duval County
-98.8325713,32.32739258,Eastland County
-102.5430907,31.86908156,Ector County
-100.3048937,29.98248216,Edwards County
-106.2352229,31.7686226,Ellis County
-96.79467417,32.34839264,El Paso County
-98.21722756,32.23640361,Erath County
-96.93579511,31.25317017,Falls County
-96.10656755,33.59396919,Fannin County
-96.91968047,29.87683207,Fayette County
-100.4019503,32.74305155,Fisher County
-101.3033037,34.07239775,Floyd County
-99.77871109,33.97408519,Foard County
-95.77090562,29.52763253,Fort Bend County
-95.21841437,33.17550691,Franklin County
-96.14918535,31.70486443,Freestone County
-99.10826004,28.86726774,Frio County
-102.6351246,32.74074537,Gaines County
-94.96474975,29.39424415,Galveston County
-101.2984496,33.17991074,Garza County
-98.94627245,30.31800246,Gillespie County
-101.520742,31.8694238,Glasscock County
-97.42646082,28.65708563,Goliad County
-97.49279927,29.45641495,Gonzales County
-100.812475,35.40130666,Gray County
-96.67764864,33.62684371,Grayson County
-94.81723694,32.48036452,Gregg County
-95.98557334,30.54360689,Grimes County
-97.94850308,29.58257236,Guadalupe County
-101.8269082,34.07051782,Hale County
-100.6809876,34.53074134,Hall County
-98.11066654,31.70479181,Hamilton County
-101.3545624,36.27753179,Hansford County
-99.7453851,34.28865227,Hardeman County
-94.39021394,30.33238431,Hardin County
-95.39782106,29.85967144,Harris County
-94.37155736,32.54814898,Harrison County
-102.6028835,35.83996755,Hartley County
-99.73029401,33.17824805,Haskell County
-98.03104087,30.05782657,Hays County
-100.2704628,35.83750155,Hemphill County
-95.85356847,32.21188078,Henderson County
-98.18088681,26.396627,Hidalgo County
-97.1324142,31.99079033,Hill County
-102.3430919,33.60750375,Hockley County
-97.83280338,32.43107878,Hood County
-95.56414173,33.14933822,Hopkins County
-95.42225367,31.31764137,Houston County
-101.4355097,32.30610232,Howard County
-105.3869428,31.45613738,Hudspeth County
-96.08550014,33.123531,Hunt County
-101.3547257,35.84000866,Hutchinson County
-100.9824126,31.30393203,Irion County
-98.1725509,33.23345819,Jack County
-96.57883268,28.95603133,Jackson County
-94.02495849,30.74391255,Jasper County
-104.1403539,30.71559322,Jeff Davis County
-94.1708778,29.88425832,Jefferson County
-98.6972921,27.04340499,Jim Hogg County
-98.0898649,27.73131099,Jim Wells County
-97.36660504,32.37899918,Johnson County
-99.87850599,32.73970429,Jones County
-97.85960621,28.90493782,Karnes County
-96.28779341,32.59927808,Kaufman County
-98.71160511,29.9446397,Kendall County
-97.68137783,26.92409448,Kenedy County
-100.7791031,33.18284492,Kent County
-99.35016969,30.06153035,Kerr County
-99.74892716,30.48676251,Kimble County
-100.2558584,33.61641863,King County
-100.4178441,29.35000302,Kinney County
-97.72889778,27.43274395,Kleberg County
-99.74144313,33.60614755,Knox County
-99.1034773,28.34621032,Lamar County
-95.57110784,33.66746186,Lamb County
-102.3517095,34.06861242,Lampasas County
-98.24142711,31.19627791,La Salle County
-96.93020993,29.38437003,Lavaca County
-96.96568735,30.31065065,Lee County
-95.99554292,31.29655719,Leon County
-94.8120925,30.15153187,Liberty County
-96.58056718,31.54541898,Limestone County
-100.27317,36.27778432,Lipscomb County
-98.12474493,28.3514375,Live Oak County
-98.68387398,30.70566579,Llano County
-103.5799063,31.84912973,Loving County
-101.8205745,33.6101944,Lubbock County
-101.8160235,33.17685487,Lynn County
-95.92818441,30.96564645,McCulloch County
-94.35725239,32.79797929,McLennan County
-101.9512464,32.30605847,McMullen County
-99.2263026,30.71742293,Madison County
-95.98533866,28.86711039,Marion County
-100.3144638,28.74260943,Martin County
-99.34754972,31.19896752,Mason County
-97.20184883,31.55234489,Matagorda County
-98.56842256,28.35351091,Maverick County
-99.11008331,29.35520493,Medina County
-99.82061472,30.88981785,Menard County
-102.0315032,31.86921148,Midland County
-96.97683495,30.78625299,Milam County
-98.59552736,31.49524259,Mills County
-100.9211128,32.30636024,Mitchell County
-97.72466993,33.67496328,Montague County
-95.50301411,30.30022409,Montgomery County
-101.8929556,35.83768863,Moore County
-94.73205137,33.11368507,Morris County
-100.7798961,34.07409017,Motley County
-94.6158776,31.61604108,Nacogdoches County
-96.47248134,32.04695429,Navarro County
-93.74462993,30.78619977,Newton County
-100.4060989,32.3034718,Nolan County
-97.61767326,27.72621549,Nueces County
-100.815653,36.27846334,Ochiltree County
-102.6029949,35.40497586,Oldham County
