Name,Land Area (mi2),PopulationDensity (mi2),Total Area (mi2)
Nolan County,912,16.7,913.9
Nueces County,838.5,405.8,1165.6
Ochiltree County,917.6,11.1,918.1
Oldham County,1500.5,1.4,1501.4
Orange County,333.7,245.3,379.5
Palo Pinto County,951.8,29.5,985.5
Panola County,801.8,29.7,821.3
Parker County,903.5,129.4,910.1
Parmer County,880.8,11.7,885.2
Pecos County,4763.9,3.3,4764.8
Polk County,1057.1,43,1109.7
Potter County,908.4,133.3,922
Presidio County,3855.2,2,3855.9
Rains County,229.5,47.6,258.8
Randall County,911.5,132.4,922.4
Reagan County,1175.3,2.9,1176
Real County,699.2,4.7,700.1
Red River County,1036.6,12.4,1056.7
Reeves County,2635.4,5.2,2642.1
Refugio County,770.4,9.6,818.2
Roberts County,924.1,1,924.2
Robertson County,855.7,19.4,865.4
Rockwall County,127,616.6,148.7
Runnels County,1051,10,1057.1
Rusk County,924,57.7,938.4
Sabine County,491.4,22,576.7
San Augustine County,530.7,16.7,592.3
San Jacinto County,569.2,46.3,627.9
San Patricio County,693.5,93.5,707.9
San Saba County,1135.3,5.4,1138.4
Schleicher County,1310.6,2.6,1310.7
Scurry County,905.4,18.7,907.5
Shackelford County,914.3,3.7,915.5
Shelby County,795.6,32,834.6
Sherman County,923,3.3,923.2
Smith County,921.5,227.6,949.7
Somervell County,186.5,45.5,192
Starr County,1223.2,49.8,1229.1
Stephens County,896.7,10.7,921.5
Sterling County,923.5,1.2,923.5
Stonewall County,916.3,1.6,920.2
Sutton County,1453.9,2.8,1454.4
Swisher County,890.2,8.8,900.7
Tarrant County,863.6,2094.7,902.3
Taylor County,915.6,143.6,919.3
Terrell County,2358,0.4,2358.1
Terry County,888.8,14.2,890.9
Throckmorton County,912.6,1.8,915.5
Titus County,406.1,79.6,425.6
Tom Green County,1522,72.4,1540.5
Total County,261231.9,,268596.4
Travis County,990.2,1034.4,1023
Trinity County,693.6,21,714
Tyler County,924.5,23.5,935.6
Upshur County,583,67.4,592.6
Upton County,1241.3,2.7,1241.5
Uvalde County,1552,17,1558.6
Val Verde County,3144.8,15.5,3232.7
Van Zandt County,842.6,62.4,859.6
Victoria County,882.1,98.4,888.8
Walker County,784.2,86.5,801.5
Waller County,513.4,84.1,517.8
Ward County,835.6,12.8,835.8
Washington County,604,55.8,621.8
Webb County,3361.5,74.5,3375.6
Wharton County,1086.2,38,1094.4
Wheeler County,914.5,5.9,915.5
Wichita County,627.8,209.5,633.1
Wilbarger County,970.8,13.9,977.9
Willacy County,590.6,37.5,784.3
Williamson County,1118.3,378,1134.4
Wilson County,803.7,53.4,808.4
Winkler County,841.1,8.5,841.3
Wise County,904.4,65.4,922.6
Wood County,645.2,65,695.7
Yoakum County,799.7,9.9,799.7
Young County,914.5,20.3,930.9
Zapata County,998.4,14,1058
Zavala County,1297.4,9,1301.7
