County,Poverty_Estimate,Poverty_Percent,Median_Household_Income,Population,Unemployment_Rate,Violent_Crime,Property_Crime,Total_Crime
Hopkins County,5320,14.6,52079,37084,3.4,16,70,86
Houston County,5323,26.1,39533,22968,3.7,10,101,111
Howard County,6263,20.6,50423,36664,3.3,33,185,218
Hudspeth County,838,17.8,42671,4886,4.6,3,32,35
Hunt County,12715,13.6,53360,98594,3.8,,,
Hutchinson County,2708,13,54351,20938,4.9,15,70,85
Irion County,123,8.1,56775,1536,3,4,30,34
Jack County,1359,17.7,48780,8935,2.5,5,58,63
Jackson County,1885,12.9,54088,14760,3.2,4,52,56
Jasper County,6682,19.2,47551,35529,6.5,69,317,386
Jeff Davis County,284,13.1,51343,2274,2.9,,,
Jefferson County,44682,18.7,48121,251565,6.3,51,381,432
Jim Hogg County,1318,25.2,36176,5200,5.6,,,
Jim Wells County,8552,21.2,41919,40482,5.4,109,344,453
Johnson County,17965,10.7,62635,175817,3.4,213,675,888
Jones County,3232,22,43903,20083,4.8,1,49,50
Karnes County,2751,21.8,48743,15601,2.8,2,92,94
Kaufman County,14539,11.5,67434,136154,3.4,143,571,714
Kendall County,3361,7.5,90937,47431,2.9,14,111,125
Kenedy County,63,14.3,42153,404,3.6,2,5,7
Kent County,89,13.3,47625,762,2.4,2,9,11
Kerr County,7023,13.9,53704,52600,3.2,30,155,185
Kimble County,760,17.6,42503,4337,3,0,11,11
King County,38,13.7,57925,272,2.8,,,
Kinney County,724,21.1,43192,3667,4.4,0,1,1
Kleberg County,7369,25,42605,30680,4.9,31,56,87
Knox County,723,20.4,39726,3664,3.6,1,12,13
Lamar County,7066,14.4,45767,49859,3.8,34,144,178
Lamb County,2587,20,42700,12893,4.4,5,42,47
Lampasas County,2713,12.9,55151,21428,3.7,11,70,81
La Salle County,1737,29.6,40072,7520,2.4,2,37,39
Lavaca County,2644,13.5,51128,20154,3.1,16,47,63
Lee County,2049,12.3,55834,17239,3,19,76,95
Leon County,2679,15.6,47065,17404,5,16,129,145
Liberty County,12252,15.1,52577,88219,5.8,177,666,843
Limestone County,4860,22.2,43226,23437,4.6,26,106,132
Lipscomb County,397,12,57332,3233,2.7,4,30,34
Live Oak County,2067,18.7,48814,12207,3.7,,,
Llano County,2628,12.3,54019,21795,3.7,11,79,90
Loving County,5,3.3,78637,169,1.5,,,
Lubbock County,52037,17.6,50377,310569,3,25,366,391
Lynn County,1063,18.3,43436,5951,3.2,0,25,25
McCulloch County,1449,18.5,42719,7984,3.3,0,14,14
McLennan County,46457,18.9,48858,256623,3.6,68,424,492
McMullen County,82,11.1,64633,743,1.8,1,18,19
Madison County,2122,17.9,45445,14284,4.4,7,64,71
Marion County,2135,21.9,38011,9854,4.5,38,124,162
Martin County,773,13.6,56484,5771,2.5,3,39,42
Mason County,541,12.7,49560,4274,3.1,1,17,18
Matagorda County,6639,18.4,48830,36643,6.1,57,306,363
Maverick County,14859,25.9,35594,58722,8.1,,,
Medina County,5988,12.3,59304,51584,3.5,75,336,411
Menard County,452,21.6,35881,2138,4,1,13,14
Midland County,17351,10.1,80189,176832,2.1,100,559,659
Milam County,3839,15.6,46720,24823,5.5,18,74,92
Mills County,693,14.6,47068,4873,3.5,2,14,16
Mitchell County,1432,21.4,48529,8545,4.1,0,29,29
Montague County,2668,13.8,50542,19818,3.2,28,87,115
Montgomery County,54400,9.3,77598,607391,3.7,847,4918,5765
Moore County,2588,12.2,53785,20940,2.6,3,36,39
Morris County,2462,20.2,41418,12388,6.5,6,70,76
Motley County,219,17.8,41009,1200,3.7,1,4,5
Nacogdoches County,13110,21.6,45357,65204,3.9,60,309,369
Navarro County,9739,20,46259,50113,3.7,53,281,334
Newton County,2898,22.3,43367,13595,6.7,22,109,131
Nolan County,2615,18.2,42522,14714,3.3,5,20,25
Nueces County,57694,16.2,53034,362294,4.6,71,258,329
Ochiltree County,1040,10.5,49845,9836,2.8,3,29,32
Oldham County,245,13,56590,2112,2.6,2,6,8
Orange County,11101,13.4,56556,83396,5.7,70,541,611
Palo Pinto County,4529,15.9,46067,29189,3.3,4,98,102
Panola County,3578,15.7,51192,23194,4.1,,,
Parker County,11289,8.3,73718,142878,3.1,136,825,961
Parmer County,1325,13.5,50539,9605,2.3,5,11,16
Pecos County,2650,19.5,47008,15823,3.6,0,91,91
Polk County,6834,15,46017,51353,5,70,521,591
Potter County,22262,19.7,41912,117415,2.9,34,194,228
Presidio County,1557,22.4,37738,6704,6.9,0,3,3
Rains County,1752,14.5,47572,12514,3.5,18,102,120
Randall County,11343,8.5,69600,137713,2.6,54,248,302
Reagan County,371,10,65273,3849,2.5,8,58,66
Real County,616,18.1,39506,3452,5,4,46,50
Red River County,2185,18.2,42233,12023,5.4,12,46,58
Reeves County,2693,21.5,45341,15976,2.1,4,107,111
Refugio County,1125,16.3,44821,6948,4.6,8,48,56
Roberts County,70,7.8,67470,854,2.8,0,7,7
Robertson County,2699,15.8,44917,17074,4.1,6,86,92
Rockwall County,5125,5.1,102858,104915,3.2,13,110,123
Runnels County,1692,16.9,42205,10264,3.1,1,15,16
Rusk County,7900,16.4,49788,54406,4,65,536,601
Sabine County,1845,17.6,40641,10542,7.9,36,126,162
San Augustine County,1777,22.2,38826,8237,6.4,21,52,73
San Jacinto County,4981,17.5,47028,28859,4.9,42,360,402
San Patricio County,11425,17.3,53559,66730,6.3,41,258,299
San Saba County,896,16.8,43827,6055,3,8,34,42
Schleicher County,476,16.5,47317,2793,2.8,0,27,27
Scurry County,2408,15.8,53059,16703,3.4,7,27,34
Shackelford County,432,13.4,57126,3265,2.3,,,
Shelby County,5173,20.6,41961,25274,4.3,,,
Sherman County,368,12.1,57052,3022,2.6,1,4,5
Smith County,33744,15,56848,232751,3.6,272,1345,1617
Somervell County,854,9.7,63929,9128,4.1,5,35,40
Starr County,21151,33.2,30490,64633,10,61,160,221
Stephens County,1696,19.4,43115,9366,3.6,2,45,47
Sterling County,161,12.6,59064,1291,3.3,1,4,5
Stonewall County,194,14.6,46915,1350,3.4,4,3,7
Sutton County,531,14.2,54774,3776,3.8,0,2,2
Swisher County,1312,19.2,43084,7397,4.3,1,7,8
Tarrant County,248032,12.1,66059,2102515,3.5,109,728,837
Taylor County,21301,16,48040,138034,3.1,35,107,142
Terrell County,155,18.9,41413,776,3.4,,,
Terry County,2529,22.4,41268,12337,4.1,,,
Throckmorton County,217,14.3,42701,1501,3.3,4,5,9
Titus County,6035,18.6,45604,32750,5,53,176,229
Tom Green County,17558,15.5,51393,119200,3.1,20,260,280
Travis County,146724,12,76255,1273954,2.8,837,3090,3927
