,won
54567,0
46107,0
23506,0
29853,0
7588,0
70962,0
20422,0
59276,1
43022,0
68121,0
16826,0
17291,0
1024,0
29936,0
32500,0
31847,0
596,0
24441,0
24041,0
2296,0
6844,0
44281,0
14692,0
676,0
49041,0
33932,1
43642,0
31829,0
573,0
69200,0
56543,0
32191,0
65926,0
53598,0
2478,0
70517,0
8011,0
68511,0
38195,0
4417,0
34497,0
51342,0
51243,0
69664,0
43827,0
3600,0
71114,0
7806,0
68903,0
49858,0
7152,0
38490,0
12611,0
32785,0
47806,0
4498,0
14059,0
31004,0
16535,0
38130,0
68775,0
62126,0
36356,1
33458,0
29456,0
10607,0
32140,0
29814,1
70474,0
49314,0
6163,0
72499,0
18174,0
57936,1
36357,0
39209,0
7202,0
45157,0
41813,0
47631,0
31390,0
56200,0
18665,0
63382,0
10680,0
38780,0
52601,0
8026,0
9270,0
14734,0
32331,0
33542,0
55386,0
57212,0
4218,0
48111,0
70339,0
43588,1
47702,0
5611,0
12012,0
8799,0
35722,0
50616,0
7346,0
75830,0
37827,1
11002,1
14673,0
20069,0
51655,0
28697,0
26179,0
47641,0
55801,0
62518,0
37173,0
35089,0
52511,0
67201,0
41104,0
47081,0
29240,0
36594,0
47715,0
8779,0
44360,0
47966,0
69230,1
11227,0
617,0
65881,0
33710,0
68644,0
17242,0
31335,0
74817,0
62481,0
56830,0
13564,0
41971,0
50953,0
29080,0
41568,0
36689,0
33742,0
53922,0
30218,0
566,1
24688,0
949,0
24094,0
23813,0
36287,1
72401,0
60954,0
33863,0
55860,1
71648,0
34302,0
15072,0
36037,0
24411,0
65799,0
42442,0
54090,1
21302,0
25151,0
9781,0
15830,0
62859,0
30842,0
48306,0
10194,0
47060,0
60743,0
42189,0
43787,0
38650,0
48062,0
54367,0
68700,0
21212,1
72787,0
38214,0
72712,1
54092,0
1987,0
11407,0
4688,1
6668,0
17729,0
16151,0
23076,0
59118,0
5170,0
29607,0
8941,0
35815,0
22990,0
69397,0
17420,0
6791,0
2693,0
71759,0
61863,0
76252,0
24250,0
24136,0
3198,0
22525,0
60389,0
63189,0
17498,0
50142,0
65378,1
56060,0
33961,0
68837,0
70126,0
24982,0
73433,0
55717,0
30584,0
15376,1
73631,0
52647,0
70522,0
12593,0
8509,0
32192,0
40178,0
15088,1
62609,0
55829,1
47946,0
28945,0
39661,0
16264,0
63557,1
54932,0
21486,0
16551,1
1765,0
31010,0
29483,0
58313,0
57104,0
1849,0
49446,0
61143,0
33095,0
14457,0
5788,1
35059,0
6424,0
33590,0
30081,0
59300,0
59281,0
7188,0
52665,1
12557,0
31229,1
11609,0
70352,0
31749,0
10780,1
54027,0
31491,0
30949,0
21500,0
118,0
45513,0
36692,0
34678,1
64471,0
68122,0
33969,0
1928,0
60576,0
26702,0
30465,0
46512,0
33788,0
35467,0
59035,1
49259,0
35683,0
5734,0
1093,0
32991,0
9429,0
7068,0
59373,0
74439,0
3567,0
29643,0
26710,0
42083,0
8237,0
23698,0
39110,0
73197,0
14500,0
6934,0
27619,0
11275,0
12033,0
52325,0
57471,1
6385,0
36624,0
69288,0
13269,0
32742,0
35353,0
18332,0
19569,0
58150,1
53998,0
21548,0
50638,0
60509,0
66145,0
18749,0
1505,0
54667,0
36169,0
23489,0
44938,0
54230,0
22121,0
20807,1
74720,0
38207,1
28510,0
48884,0
16193,1
15232,0
40026,0
70364,0
28912,0
27240,0
17682,0
33434,0
65455,0
49301,0
74553,0
63610,0
75788,0
63591,0
47528,1
41102,0
4164,0
26383,0
19733,0
8657,0
66156,0
65644,0
69741,0
59712,0
5620,0
32459,0
29548,0
654,0
18663,0
2208,0
43763,0
33412,0
45072,0
14455,0
55568,0
3224,0
18721,0
64872,1
43739,0
37076,0
42983,0
20147,0
8659,1
28104,0
45250,0
24600,0
73082,0
60503,0
27887,0
17230,0
10964,0
64633,0
38443,0
2877,0
1251,0
29366,0
23559,0
64747,0
10616,0
8535,0
5700,0
19420,0
72607,0
242,0
40637,0
28694,0
67279,0
42873,0
70057,0
6619,0
32815,0
50260,0
41637,0
45111,0
73223,0
65598,0
46823,0
63399,0
45623,0
3389,1
56883,0
1759,1
11548,0
21846,0
24834,0
4913,0
76568,0
66057,0
43358,1
24128,0
7669,0
73969,0
3264,0
39547,0
18992,0
73794,0
16975,0
18448,0
5103,0
13566,0
9030,0
54099,0
12642,1
58107,0
41994,0
33488,0
61830,1
39337,0
51368,0
58114,0
5245,0
53695,0
67816,0
10154,0
5979,0
1939,0
8219,0
45684,0
50825,0
57730,0
40228,0
66238,0
39113,0
75264,0
45086,0
45924,0
3530,0
67684,0
60739,0
44965,0
34930,0
40269,0
59159,0
23447,0
56486,0
74497,0
64329,0
43144,1
63047,0
55852,0
5224,0
53344,0
65755,0
3983,0
49405,0
74022,0
13728,0
58696,0
41,0
813,0
46936,0
14051,0
6371,0
32554,0
10832,0
34330,0
4013,0
36059,0
28770,0
47677,0
46236,1
14700,0
3253,0
60514,0
57943,0
54415,0
31912,0
3575,0
65284,0
5322,0
36093,0
16971,0
68737,0
15824,0
75968,1
75461,0
47636,0
39990,0
8944,0
44076,0
35529,0
70358,0
31965,0
3715,0
30712,0
31617,0
67967,0
18356,0
70905,0
54023,1
35088,0
15538,1
10838,0
38909,0
1392,0
51640,1
50363,0
34035,0
55742,0
64977,0
